product_id,product_name,descriptions,order_id,product_id,option_id,quantity,product_id,category_id,category_id,category_name,option_id,option_name
1200,Macbook Pro (2017),The ultimate pro notebook. MacBook Pro features faster processors ;upgraded memory;the Apple T2 chip;and a Retina display with True Tone technology.,1000,1200,1201,2,1200,4000,4000,Laptops,1201,Macbook Pro 13.3-inch
1200,Macbook Pro (2017),The ultimate pro notebook. MacBook Pro features faster processors ;upgraded memory;the Apple T2 chip;and a Retina display with True Tone technology.,1000,1200,1202,1,1200,4000,4000,Laptops,1202,Macbook Pro 15.4-inch
1300,Macbook Air (2015) ,MacBook Air lasts up to an incredible 12 hours between charges So from your morning coffee till your evening commute;you can work unplugged. When itís time to kick back and relax;you can get up to 12 hours of iTunes movie playback.,1000,1300,1301,3,1300,4000,4000,Laptops,1301,Macbook Air 11.6-inch
1300,Macbook Air (2015) ,MacBook Air lasts up to an incredible 12 hours between charges So from your morning coffee till your evening commute;you can work unplugged. When itís time to kick back and relax;you can get up to 12 hours of iTunes movie playback.,1000,1300,1302,2,1300,4000,4000,Laptops,1302,Macbook Air 13-inch
1400,Iphone X,The iPhone X display is so immersive the device itself disappears into the experience. ,1001,1400,1401,1,1400,4100,4100,Mobile phones,1401,Iphone X 128GB
1400,Iphone X,The iPhone X display is so immersive the device itself disappears into the experience. ,1001,1400,1402,1,1400,4100,4100,Mobile phones,1402,Iphone X 256GB
1500,Iphone 7,Great connectivity of this device includes Bluetooth 4.2 version with A2DP,1001,1500,1501,2,1500,4100,4100,Mobile phones,1501,Iphone 7 64GB
1500,Iphone 7,Great connectivity of this device includes Bluetooth 4.2 version with A2DP,1001,1500,1502,3,1500,4100,4100,Mobile phones,1502,Iphone 7 32GB
1600,Iphone 8,iPhone 8 introduces a glass design. The glass back enables easy wireless charging.,1002,1600,1601,2,1600,4100,4100,Mobile phones,1601,Iphone 8 64GB
1600,Iphone 8,iPhone 8 introduces a glass design. The glass back enables easy wireless charging.,1002,1600,1602,1,1600,4100,4100,Mobile phones,1602,Iphone 8 128GB
1700,Ipad Air,4th gen The iPad Air is unbelievably thin and light. And yet it is so much more powerful and capable,1002,1700,1701,1,1700,4200,4200,Tablets,1701,Ipad Air 9.7-inch
1700,Ipad Air,4th gen The iPad Air is unbelievably thin and light. And yet it is so much more powerful and capable,1002,1700,1702,3,1700,4200,4200,Tablets,1702,Ipad Air 12-inch
1800,Ipad Mini 3th gen,3th gen Everything you love about iPad ó the beautiful screen and fast,1003,1800,1801,1,1800,4200,4200,Tablets,1801,Ipad Mini 7.9-inch
1800,Ipad Mini 3th gen,3th gen Everything you love about iPad ó the beautiful screen and fast,1003,1800,1802,2,1800,4200,4200,Tablets,1802,Ipad Mini 10-inch
1900,ESC8000 G3,G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.,1003,1900,1901,1,1900,4300,4300,Servers,1901,"ESC8000 G3 - 8 G Intel Xeon E5-1603 V4(2.80GHz,140W,L3:10M)"
1900,ESC8000 G3,G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.,1003,1900,1902,2,1900,4300,4300,Servers,1902,"ESC8000 G3 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)"
2000,ESC8000 G4,G4 High performance ASUS 2U server with hybrid-storage design and high power-efficiency,1004,2000,2001,2,2000,4300,4300,Servers,2001,"ESC8000 G4 - 8 G Intel Xeon E5-1603 v3 (3.5G,140W,L3:10M,4C,HT)"
2000,ESC8000 G4,G4 High performance ASUS 2U server with hybrid-storage design and high power-efficiency,1004,2000,2002,3,2000,4300,4300,Servers,2002,"ESC8000 G4 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)"
2100,XPS 13 - 5080,"Thinner and more powerful than ever the Dell XPS reinforces its lofty standing with an 8th Gen Intel Core processor immaculate 4K UHD display, and super-slim build.",1004,2100,2101,1,2100,4400,4400,PC,2101,XPS 13 - 5080 8GB LPDDR3 1866MHz
2100,XPS 13 - 5080,"Thinner and more powerful than ever the Dell XPS reinforces its lofty standing with an 8th Gen Intel Core processor immaculate 4K UHD display, and super-slim build.",1004,2100,2102,3,2100,4400,4400,PC,2102,XPS 13 - 5080 16GB LPDDR3 1866MHz
2200,XPS 15 - 5070,Ultra-thin and distinctly refined the stylish Dell Inspiron gives definitive elegance to a powerful and expansive PC experience.,1004,2200,2201,2,2200,4400,4400,PC,2201,XPS 15- 5070 256GB PCIe Solid State Drive
2200,XPS 15 - 5070,Ultra-thin and distinctly refined the stylish Dell Inspiron gives definitive elegance to a powerful and expansive PC experience.,1004,2200,2202,3,2200,4400,4400,PC,2202,XPS 15- 5070 500GB PCIe Solid State Drive
2300,Monoprice Ultra Slim Series High Speed HDMI Cable,The Monoprice Ultra Slim Active High Speed HDMI Cable series is designed with the thinnest TVs in mind,1005,2300,2301,1,2300,4500,4500,Cables,2301,Monoprice Ultra Slim Series High Speed HDMI Cable - 4K - Length - 1ft
